valuation per sqft	address	zone	sqft	valuation	link
104	710 MYSTIC AVE	MR4	5227	$545,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=626
105	3 HAWKINS ST	MR5	13939	$1,456,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1152
106	167 BROADWAY	MR5	7841	$833,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1411
107	231 WASHINGTON ST	MR4	8276	$886,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1315
107	711 SOMERVILLE AVE	MR4	20038	$2,148,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=420
107	24 WEBSTER AVE	MR4	10454	$1,122,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1346
108	519 SOMERVILLE AVE	MR4	13504	$1,463,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=772
108	362 MYSTIC AVE	MR5	17860	$1,935,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=994
109	69 WEBSTER AVE	MR4	9148	$996,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1612
109	105 WASHINGTON ST	MR4	6534	$714,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1729
110	420 WASHINGTON ST	MR4	2178	$239,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=986
110	261 MEDFORD ST	MR4	26136	$2,876,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1271
110	583 BROADWAY	MR4	3485	$383,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=281
111	645 BROADWAY	MR4	15246	$1,684,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=279
111	28 BROADWAY	MR6	5663	$627,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1691
112	130 BROADWAY	MR5	28750	$3,214,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1440
113	463 MCGRATH HWY	MR4	6970	$790,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1538
113	366 BROADWAY	MR4	13504	$1,532,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=672
117	422 WASHINGTON ST	MR4	2178	$255,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=985
119	91 MARSHALL ST	MR4	3920	$464,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=865
119	150 HIGHLAND AVE	MR4	12632	$1,502,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=724
119	521 BROADWAY	MR4	4356	$519,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=344
120	263 BEACON ST	MR4	14375	$1,719,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=475
120	32 WEBSTER AVE	MR4	9148	$1,095,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=12809
123	541 BROADWAY	MR4	3485	$428,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=342
123	94 BROADWAY	MR5	6534	$803,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1475
124	2 BRADLEY ST	MR4	14810	$1,834,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=869
124	350 BROADWAY	MR5	5663	$701,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=836
125	182 WASHINGTON ST	MR5	13504	$1,690,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1552
126	290R BROADWAY	MR5	6534	$823,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1031
126	513 COLUMBIA ST	MR5	3485	$440,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1619
127	44 MEDFORD ST	MR4	1742	$221,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1635
129	504 BROADWAY	MR4	8276	$1,063,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=346
130	371 HIGHLAND AVE	MR4	8276	$1,073,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=224
130	64 WEBSTER AVE	MR5	6534	$852,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1617
131	164 SCHOOL ST	MR4	6098	$796,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=705
131	47 WEBSTER AVE	MR4	7405	$968,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1342
131	16 MEDFORD ST	MR4	8276	$1,084,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1641
131	493 SOMERVILLE AVE	MR4	15246	$2,000,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=765
131	502 MEDFORD ST	MR4	5227	$686,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=526
135	84 PROSPECT ST	MR5	5227	$703,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1370
135	310 BROADWAY	MR5	18295	$2,468,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=844
135	2 ALPINE ST	MR4	7405	$1,003,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=370
138	51 MCGRATH HWY	MR5	58370	$8,038,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1824
139	500 MEDFORD ST	MR4	5227	$727,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=527
140	79 PROSPECT ST	MR4	6970	$973,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1355
140	30 MEDFORD ST	MR4	5663	$795,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1637
141	11 HORACE ST	MR4	15682	$2,215,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1632
144	110 BROADWAY	MR5	5227	$754,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1466
148	692 BROADWAY	MR4	13504	$1,993,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=286
148	505 MEDFORD ST	MR4	5663	$838,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=519
150	156 HIGHLAND AVE	MR4	18295	$2,736,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=571
152	255 MEDFORD ST	MR4	9148	$1,386,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1272
153	20 MEDFORD ST	MR4	8712	$1,330,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1640
154	40 WHITE ST	MR4	5227	$806,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=334
155	52 BROADWAY	MR6	6098	$942,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1684
156	288 BROADWAY	MR5	6534	$1,017,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1033
156	709 SOMERVILLE AVE	MR4	7405	$1,152,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=421
163	163 WASHINGTON ST	MR5	7841	$1,280,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1535
164	363 HIGHLAND AVE	MR4	49658	$8,121,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=223
164	731 BROADWAY	MR4	7405	$1,213,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=125
165	15 WINTER HILL CIR	MR5	3049	$502,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=10098
165	292 BROADWAY	MR5	4356	$719,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1029
165	151 BOSTON AVE	MR4	6534	$1,081,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=283
166	514 MEDFORD ST	MR4	5227	$865,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=351
